,work_id,text_name,n_question_marks,man_occurs,genre_occurs,mattr_10,mattr_50,ttr,mattr_500,length,mean_sentence_length,mean_token_length,n_sentences
31,greek_tragedies,Sophocles - Antigone,0,False,False,0.8777937847293683,0.7504215747055177,0.3050272437544978,0.5681291720849588,9727,5.9711479435236345,4.173640382440629,1629
32,greek_tragedies,Aeschylus - Eumenides,0,False,False,0.8645836258952395,0.7412597090806384,0.33281907433380087,0.5627576534459358,7130,5.627466456195738,4.273913043478261,1267
33,greek_tragedies,Euripides - Iphigenia in Aulis,0,False,False,0.8680478025001966,0.733412729710545,0.26516341923318665,0.5433158884618529,12728,5.343408900083963,4.187382149591452,2382
34,greek_tragedies,Euripides - Medea,0,False,False,0.8835956175298806,0.758524,0.29226788735197534,0.5732083769633507,10049,5.302902374670185,4.217036521046871,1895
35,greek_tragedies,Euripides - The Trojan Women,0,False,False,0.8644509272765162,0.7431010671688637,0.3178932028729052,0.5730906895037329,9607,5.661166764879199,4.156032059956281,1697
36,greek_tragedies,Euripides - Andromache,0,False,False,0.8833732317736672,0.7626579234972678,0.3120991412110012,0.5797901149425287,9199,5.771016311166876,4.216762691596912,1594
37,greek_tragedies,Aeschylus - Suppliant Maidens,0,False,False,0.8388665710186514,0.7184617604617604,0.3547786215790228,0.564612037037037,6979,5.521360759493671,4.228112910159049,1264
38,greek_tragedies,Euripides - Rhesus,0,False,False,0.8647517439474767,0.7428551781047998,0.33114754098360655,0.5672420466207301,7320,5.251076040172166,4.20068306010929,1394
39,greek_tragedies,Aeschylus - Libation Bearers,0,False,False,0.8478012488375185,0.7247175103512755,0.3398354564755839,0.5583132016484298,7536,5.288421052631579,4.257298301486199,1425
40,greek_tragedies,Euripides - The Suppliants,0,False,False,0.8720008500690682,0.7464283427595774,0.3081740976645435,0.5632124201322721,9420,5.880149812734082,4.178980891719745,1602
41,greek_tragedies,Sophocles - Philoctetes,0,False,False,0.8714032571091048,0.7386537973075947,0.25219224283305225,0.5318713141448816,11860,5.737784228350266,4.031956155143339,2067
42,greek_tragedies,Sophocles - Oedipus at Colonus,0,False,False,0.8669570760730982,0.7324634180991617,0.24810646280172718,0.5373065746991489,14127,5.641773162939297,3.970269696326184,2504
43,greek_tragedies,Aeschylus - Seven Against Thebes,0,False,False,0.8431212078453507,0.7200879807010075,0.36062570462232246,0.5643443989692284,7096,5.347400150715901,4.326803833145434,1327
44,greek_tragedies,Euripides - Bacchae,0,False,False,0.8599068051645473,0.7299171620699737,0.3013579049466537,0.5533119967383548,10310,5.481127060074429,4.171387002909796,1881
45,greek_tragedies,Sophocles - Oedipus King - Oedipus Tyran,0,False,False,0.873606873293721,0.7399597228935074,0.25290860948407284,0.5353440320962889,12463,6.0588235294117645,3.9788975367086574,2057
46,greek_tragedies,Euripides - Hippolytus,0,False,False,0.8771486252643724,0.7506388728044779,0.300163288829123,0.5718085149313964,10411,5.28209030948757,4.167323023724906,1971
47,greek_tragedies,Euripides - Cyclops,0,False,False,0.856716960552627,0.7253799670390039,0.36333938294010887,0.5507595290361206,5510,4.910873440285205,4.160254083484573,1122
48,greek_tragedies,Euripides - The Phoenician Women,0,False,False,0.8660179640718563,0.7355315315315314,0.27773206672151995,0.5586301476301476,13369,5.3476,4.239808512229786,2500
49,greek_tragedies,Sophocles - Trachiniae,0,False,False,0.8776001660784722,0.7535063581405044,0.30498807425075186,0.5686620734908135,9643,5.937807881773399,4.128175878875869,1624
50,greek_tragedies,Euripides - Alcestis,0,False,False,0.8692307692307695,0.7358756795083905,0.30137469157560803,0.5537685971043435,8511,5.186471663619744,4.127012101985666,1641
51,greek_tragedies,Aeschylus - Agamemnon,0,False,False,0.860924560924561,0.745974974883551,0.33169667212220405,0.5855641489665682,10998,5.7581151832460735,4.352154937261321,1910
52,greek_novels,Xenophon of Ephesus - Ephesiaca,0,False,False,0.9475839929152599,0.7957485993232375,0.212878955521133,0.5306616601240257,18076,8.360777058279371,4.740097366674043,2162
53,greek_novels,Chariton - De Chaerea et Callirhoe - Cha,0,False,False,0.8896119653732181,0.7438414648387323,0.17522045443941586,0.5272429013147026,42866,5.875274122807017,4.513297251901274,7296
54,greek_novels,Longus - Daphnis and Chloe,0,False,False,0.9540107203310138,0.8172046353872245,0.24477134934436245,0.5757329868129752,21277,9.123927958833619,4.844385956666823,2332
55,greek_novels,Vitae Aesopi - Vita Aesopi Pl vel Accurs,0,False,False,0.901083478766725,0.7399927071178529,0.2555046871593634,0.49960443372040414,13761,7.615384615384615,4.17912942373374,1807
56,greek_novels,Heliodorus of Emesa - Aethiopica,0,False,False,0.9107460357578488,0.7478734842404987,0.16559718712229426,0.5210439394106793,91010,8.34571297569922,4.567564003955609,10905
57,greek_novels,Achilles Tatius - Leucippe et Clitophon,0,False,False,0.8897581291672372,0.7222977124630648,0.165858617453863,0.4893845971610763,51152,6.197237702931912,4.235337816703159,8254
