,adj,adp,adv,aux,cconj,det,intj,noun,num,part,pron,propn,punct,sconj,verb,text_name,work_id
71,628,371,676,78,416,897,4,1001,46,0,207,243,524,62,1219,Plutarch - Publicola,greek_biographies
72,1004,602,1139,105,657,1456,2,1480,55,0,308,416,520,117,1840,Plutarch - Tiberius and Caius Gracchus,greek_biographies
73,979,551,1062,115,576,1144,4,1483,54,0,263,233,505,79,1526,Plutarch - Marcus Cato _Maior_,greek_biographies
74,1060,582,1135,116,792,1359,12,1691,28,0,345,219,544,112,1887,Plutarch - Caius Marcius Coriolanus,greek_biographies
75,122,66,183,15,96,134,0,159,2,0,20,38,47,13,223,Plutarch - Comparison of Alcibiades and Coriolanus,greek_biographies
76,1262,832,1619,144,918,1696,10,2058,126,0,408,735,765,125,2346,Plutarch - Demetrius,greek_biographies
77,1348,1538,1721,146,742,2446,7,2425,153,0,1061,651,3080,180,3384,Flavius Josephus - Life,greek_biographies
78,844,597,1042,90,529,1245,9,1361,45,0,252,386,427,98,1634,Plutarch - Lysander,greek_biographies
79,1171,693,1319,120,786,1319,7,1753,89,0,337,395,622,115,2115,Plutarch - Crassus,greek_biographies
80,880,489,951,110,583,1106,1,1517,62,0,228,240,417,59,1271,Plutarch - Numa,greek_biographies
81,110,52,140,10,80,130,0,159,1,0,30,40,46,8,184,Plutarch - Comparison of Solon and Publicola,greek_biographies
82,1196,827,1308,125,808,1792,1,2127,51,0,285,290,579,87,2146,Plutarch - Camillus,greek_biographies
83,1455,969,1617,166,976,1798,4,2260,130,0,447,719,779,135,2656,Plutarch - Lucullus,greek_biographies
84,973,686,1027,83,689,1447,4,1665,61,0,280,271,472,79,1791,Plutarch - Timoleon,greek_biographies
85,1179,876,1475,163,839,1633,13,2076,49,0,426,539,856,119,2479,Plutarch - Brutus,greek_biographies
86,867,468,1090,99,610,1156,21,1233,34,0,294,383,613,153,1754,Plutarch - Phocion,greek_biographies
87,142,84,156,11,99,172,0,218,4,0,32,59,51,16,218,Plutarch - Comparison of Nicias and Crassus,greek_biographies
88,986,579,1071,93,615,1213,3,1504,57,0,226,362,484,74,1645,Plutarch - Marcellus,greek_biographies
89,445,284,524,46,343,567,2,650,15,0,144,189,237,40,881,Plutarch - Otho,greek_biographies
90,1093,677,1046,109,752,1440,4,1942,109,0,287,284,566,95,1784,Plutarch - Aemilius Paulus,greek_biographies
91,119,82,138,8,81,143,0,172,4,0,28,46,43,8,159,Plutarch - Comparison of Lucullus and Cimon,greek_biographies
92,640,368,794,84,457,819,3,1023,45,0,228,374,352,42,1270,Plutarch - Galba,greek_biographies
93,86,57,96,5,67,88,0,128,3,0,21,44,30,4,124,Plutarch - Comparison of Pericles and Fabius Maximus,greek_biographies
94,138,80,175,17,98,172,1,224,4,0,49,60,43,16,203,Plutarch - Comparison of Lysander and Sulla,greek_biographies
95,686,494,975,97,521,1052,2,1264,26,0,221,495,462,55,1499,Plutarch - Theseus,greek_biographies
96,610,447,731,58,386,925,3,1040,33,0,170,307,318,50,1094,Plutarch - Cimon,greek_biographies
97,4005,1930,3684,412,2180,4603,8,6587,254,1,1074,179,5074,341,5365,Philo Judaeus - De vita Mosis _lib i-ii_,greek_biographies
98,1099,716,1211,116,719,1553,4,1872,64,0,296,440,554,97,1761,Plutarch - Pericles,greek_biographies
99,1205,862,1481,133,919,1812,5,1936,81,0,369,535,622,122,2301,Plutarch - Aratus,greek_biographies
100,35,27,75,4,28,66,0,62,0,0,16,14,15,0,74,Plutarch - Comparison of Sertorius and Eumenes,greek_biographies
101,1365,898,1490,129,946,1914,5,2333,72,0,401,546,707,119,2555,Plutarch - Caius Marius,greek_biographies
102,1004,695,1163,106,698,1340,3,1455,48,0,280,355,468,111,1740,Plutarch - Nicias,greek_biographies
103,596,425,754,57,429,841,6,1027,44,0,186,325,330,54,1077,Plutarch - Titus Flamininus,greek_biographies
104,64,30,95,6,38,72,0,102,1,0,21,26,21,6,89,Plutarch - Comparison of Philopoemen and Titus,greek_biographies
105,226,84,215,27,129,172,0,259,8,0,40,62,54,14,228,Plutarch - Comparison of Aristides and Marcus Cato,greek_biographies
106,1830,1212,2391,219,1310,2463,13,3158,141,0,641,1038,1168,190,3838,Plutarch - Antony,greek_biographies
107,60,25,64,8,51,58,0,86,2,0,11,28,19,6,84,Plutarch - Comparison of Timoleon and Aemilius,greek_biographies
108,779,623,977,116,464,1211,8,1370,35,0,260,415,480,104,1545,Plutarch - Themistocles,greek_biographies
109,1609,1227,1997,169,1057,2321,9,2990,139,0,540,560,887,175,3222,Plutarch - Caesar,greek_biographies
110,1196,835,1391,117,782,1699,7,1955,110,0,410,660,609,102,2229,Plutarch - Sulla,greek_biographies
111,391,190,436,46,235,370,16,408,14,0,198,84,368,54,654,Lucian - Demonax,greek_biographies
112,1675,1059,2149,174,1367,2309,16,2775,95,0,562,658,953,224,3569,Plutarch - Cato the Younger _Minor_,greek_biographies
113,1358,904,1656,174,1017,2096,11,2161,80,0,419,635,736,157,2747,Plutarch - Agis and Cleomenes,greek_biographies
114,1183,856,1421,154,854,1782,2,2074,61,0,364,562,672,128,2320,Plutarch - Dion,greek_biographies
115,124,51,145,15,65,142,0,173,4,0,26,38,35,13,185,Plutarch - Comparison of Agis and Cleomenes and the Gracchi,greek_biographies
116,507,386,692,55,419,796,5,891,32,0,197,293,348,62,1174,Plutarch - Eumenes,greek_biographies
117,150,73,158,17,107,141,0,236,6,0,29,33,43,9,201,Plutarch - Comparison of Theseus and Romulus,greek_biographies
118,97,56,117,9,72,106,0,138,3,0,21,43,32,7,136,Plutarch - Comparison of Pelopidas and Marcellus,greek_biographies
119,128,60,134,18,77,125,0,165,2,0,26,36,42,8,163,Plutarch - Comparison of Dion and Brutus,greek_biographies
120,1006,641,1155,125,754,1480,4,1686,50,0,277,302,513,119,1817,Plutarch - Pelopidas,greek_biographies
121,1127,910,1450,147,810,1779,5,2080,59,0,394,662,801,150,2388,Plutarch - Cicero,greek_biographies
122,829,577,919,78,601,1178,8,1348,46,0,238,313,443,74,1507,Plutarch - Fabius Maximus,greek_biographies
123,729,1069,1604,445,855,2187,58,2666,44,3,2303,66,3258,593,3179,NA28-043JHN,gospel_other
124,1174,1558,1926,362,1268,2662,57,3472,85,0,2396,198,3951,395,4086,NA28-042LUK,gospel_other
125,1127,1271,1881,287,1180,2793,108,3467,106,2,2048,128,3817,360,3716,NA28-040MAT,gospel_other
126,1195,1622,1759,279,1041,2712,21,4026,37,0,1824,125,3130,280,3671,NA28-044ACT,gospel_other
127,632,796,1117,192,967,1516,30,1970,60,1,1363,37,2326,273,2452,NA28-041MRK,gospel_mark
